  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      406        1.611        4.796            0      420.850       99.784       96.968
      407        1.526        4.821            0      425.085      114.420       94.219
      408        1.547        4.816            0      428.012      105.665       93.168
      409        0.850        5.177            0      423.608      128.768       97.109
      410        0.972        5.037            0      422.561      118.355       96.793
      411        0.861        5.098            0      428.881      126.697       97.254
      412        0.522        5.243            0      424.649       96.350       93.282
      413        0.457        5.074            0      427.917      144.386       92.589
      414        0.509        5.316            0      427.685      141.211       92.024
      415        0.638        5.015            0      427.607      122.095       96.228
      416        1.122        4.701            0      412.152      122.914      101.428
      417        1.486        4.809            0      417.677      120.121      100.905
      418        0.594        5.020            0      423.750      139.985      100.160
      419        1.024        5.064            0      426.417      129.286       95.736
      420        0.745        5.272            0      428.111      121.527       94.615
      421        0.750        5.004            0      426.237      122.769       99.103
      422        0.876        4.773            0      419.618       91.850      101.127
      423        0.682        4.903            0      430.519      105.259      103.065
      424        1.696        5.107            0      427.989       87.265       97.545
      425        0.791        5.093            0      426.906      121.973       94.930
      426        0.767        5.024            0      427.257      124.757       92.844
      427        0.713        5.227            0      427.344      100.661       95.604
      428        0.873        5.028            0      427.975      139.717      101.757
      429        1.040        5.158            0      427.952      137.868       93.599
      430        0.714        4.962            0      432.342      127.619      100.919
      431        0.846        4.959            0      428.491      119.250       91.834
      432        0.954        4.965            0      430.201      117.997       97.311
      433        0.667        5.027            0      427.170      102.849       97.933
      434        0.945        4.963            0      427.169      127.072       98.055
      435        0.744        4.957            0      430.047      109.309       95.080
      436        0.827        4.894            0      432.723      119.932      101.170
      437        0.778        4.887            0      434.052      152.060      102.448
      438        0.757        5.005            0      427.015      126.072       98.485
      439        0.823        4.944            0      424.851      117.272       98.581
      440        0.906        4.836            0      424.537      101.208       96.016
      441        0.846        4.898            0      431.967       93.986      102.034
      442        0.985        4.938            0      428.195      120.373       99.956
      443        0.696        4.852            0      428.307       88.865       96.834
      444        0.929        4.838            0      437.053       86.384      104.095
      445        0.692        5.039            0      431.326      131.260      101.729
      446        0.867        5.001            0      426.287      115.557      100.031
      447        0.663        4.891            0      435.208      109.269      101.589
      448        0.621        4.974            0      429.340      135.854       90.606
      449        1.410        5.077            0      428.256      108.500       88.359
      450        1.506        5.144            0      426.946      136.367       87.503
      451        1.366        5.061            0      428.673      103.530       92.609
      452        1.768        5.182            0      423.428      117.843       89.454
      453        0.907        5.102            0      428.823       99.881       90.089
      454        0.957        5.043            0      428.156       80.759       87.744
      455        1.087        4.978            0      428.984      105.701       91.109
