## Torsion are defined with the following atomIDs:
# dihed1: ai= 18 aj= 17 ak= 12 al= 11
# dihed2: ai= 13 aj= 14 ak= 31 al= 32
# dihed3: ai= 15 aj= 11 ak= 4 al= 3
# dihed4: ai= 2 aj= 1 ak= 35 al= 40
# dihed5: ai= 1 aj= 35 ak= 40 al= 38
# dihed6: ai= 40 aj= 38 ak= 44 al= 45
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
422  -27.941  -16.391  -56.753 -141.146   74.555 -166.289
423  -38.871  123.076  -67.957 -129.386   62.075 -151.286
424 -133.358 -103.737 -120.444  -87.960  101.003 -174.932
425  -62.593  -13.320  -56.554 -162.867   81.290 -169.708
426  -53.655   18.940  -76.085 -127.911  103.431  174.748
427  -35.828  -18.330  -71.627 -146.510  101.166 -176.389
428  -69.870  127.579  -42.640 -153.069   82.758 -179.043
429  -53.904 -125.222  -50.411 -144.610  102.837  167.757
430  -77.235    4.183  -52.335 -150.544   82.026  175.026
431  -72.564 -161.677  -60.060 -137.758  100.141  146.589
432  -33.490 -126.683  -47.348 -154.274   88.455  176.856
433  -48.173  -16.919  -37.638 -157.738   88.936  168.321
434  -56.262 -134.208  -50.001 -142.955   84.571  179.699
435  -60.203   -5.255  -50.724 -153.826  101.069  168.214
436  -65.812  -16.504  -43.944 -166.444   74.149 -169.002
437  -46.140 -122.713  -61.670 -152.189   67.875 -174.977
